time,volume,open,close
2024-02-08 04:00:00+00:00,2379,"Quotation(units=105, nano=600000000)","Quotation(units=105, nano=400000000)"
2024-02-08 08:00:00+00:00,7298,"Quotation(units=105, nano=200000000)","Quotation(units=106, nano=400000000)"
2024-02-08 12:00:00+00:00,1649,"Quotation(units=106, nano=0)","Quotation(units=105, nano=400000000)"
2024-02-09 04:00:00+00:00,6483,"Quotation(units=105, nano=400000000)","Quotation(units=103, nano=200000000)"
2024-02-09 08:00:00+00:00,1452,"Quotation(units=103, nano=400000000)","Quotation(units=104, nano=200000000)"
2024-02-09 12:00:00+00:00,1856,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=400000000)"
2024-02-12 04:00:00+00:00,1972,"Quotation(units=105, nano=0)","Quotation(units=103, nano=800000000)"
2024-02-12 08:00:00+00:00,3407,"Quotation(units=104, nano=200000000)","Quotation(units=103, nano=800000000)"
2024-02-12 12:00:00+00:00,4389,"Quotation(units=103, nano=800000000)","Quotation(units=104, nano=200000000)"
2024-02-13 04:00:00+00:00,261,"Quotation(units=104, nano=200000000)","Quotation(units=104, nano=400000000)"
2024-02-13 08:00:00+00:00,343,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=400000000)"
2024-02-13 12:00:00+00:00,1269,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=400000000)"
2024-02-14 04:00:00+00:00,1977,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=800000000)"
2024-02-14 08:00:00+00:00,3283,"Quotation(units=104, nano=400000000)","Quotation(units=105, nano=400000000)"
2024-02-14 12:00:00+00:00,4319,"Quotation(units=105, nano=400000000)","Quotation(units=105, nano=600000000)"
2024-02-15 04:00:00+00:00,1922,"Quotation(units=105, nano=800000000)","Quotation(units=105, nano=400000000)"
2024-02-15 08:00:00+00:00,3438,"Quotation(units=105, nano=400000000)","Quotation(units=105, nano=200000000)"
2024-02-15 12:00:00+00:00,2136,"Quotation(units=105, nano=200000000)","Quotation(units=105, nano=200000000)"
2024-02-16 04:00:00+00:00,2874,"Quotation(units=105, nano=200000000)","Quotation(units=105, nano=0)"
2024-02-16 08:00:00+00:00,31016,"Quotation(units=105, nano=0)","Quotation(units=110, nano=400000000)"
2024-02-16 12:00:00+00:00,33236,"Quotation(units=110, nano=600000000)","Quotation(units=111, nano=200000000)"
2024-02-19 04:00:00+00:00,29063,"Quotation(units=112, nano=0)","Quotation(units=114, nano=600000000)"
2024-02-19 08:00:00+00:00,43182,"Quotation(units=114, nano=400000000)","Quotation(units=116, nano=200000000)"
2024-02-19 12:00:00+00:00,33846,"Quotation(units=116, nano=400000000)","Quotation(units=111, nano=800000000)"
2024-02-20 04:00:00+00:00,6764,"Quotation(units=112, nano=0)","Quotation(units=110, nano=0)"
2024-02-20 08:00:00+00:00,22832,"Quotation(units=110, nano=0)","Quotation(units=107, nano=400000000)"
2024-02-20 12:00:00+00:00,13462,"Quotation(units=107, nano=600000000)","Quotation(units=107, nano=800000000)"
2024-02-21 04:00:00+00:00,8253,"Quotation(units=106, nano=800000000)","Quotation(units=105, nano=600000000)"
2024-02-21 08:00:00+00:00,10482,"Quotation(units=105, nano=600000000)","Quotation(units=103, nano=0)"
2024-02-21 12:00:00+00:00,15029,"Quotation(units=103, nano=400000000)","Quotation(units=101, nano=400000000)"
2024-02-22 04:00:00+00:00,2612,"Quotation(units=102, nano=0)","Quotation(units=102, nano=600000000)"
2024-02-22 08:00:00+00:00,16883,"Quotation(units=102, nano=600000000)","Quotation(units=101, nano=400000000)"
2024-02-22 12:00:00+00:00,6703,"Quotation(units=101, nano=400000000)","Quotation(units=100, nano=200000000)"
2024-02-26 04:00:00+00:00,5159,"Quotation(units=101, nano=0)","Quotation(units=101, nano=600000000)"
2024-02-26 08:00:00+00:00,5433,"Quotation(units=101, nano=800000000)","Quotation(units=102, nano=0)"
2024-02-26 12:00:00+00:00,7167,"Quotation(units=101, nano=800000000)","Quotation(units=103, nano=400000000)"
2024-02-27 04:00:00+00:00,7364,"Quotation(units=104, nano=0)","Quotation(units=102, nano=200000000)"
2024-02-27 08:00:00+00:00,2856,"Quotation(units=102, nano=0)","Quotation(units=102, nano=200000000)"
2024-02-27 12:00:00+00:00,1678,"Quotation(units=102, nano=200000000)","Quotation(units=102, nano=0)"
2024-02-28 04:00:00+00:00,2767,"Quotation(units=102, nano=400000000)","Quotation(units=102, nano=600000000)"
2024-02-28 08:00:00+00:00,4513,"Quotation(units=102, nano=800000000)","Quotation(units=103, nano=200000000)"
2024-02-28 12:00:00+00:00,3632,"Quotation(units=103, nano=400000000)","Quotation(units=103, nano=0)"
2024-02-29 04:00:00+00:00,583,"Quotation(units=103, nano=0)","Quotation(units=103, nano=0)"
2024-02-29 08:00:00+00:00,3806,"Quotation(units=103, nano=0)","Quotation(units=103, nano=400000000)"
2024-02-29 12:00:00+00:00,2852,"Quotation(units=103, nano=400000000)","Quotation(units=103, nano=200000000)"
2024-03-01 04:00:00+00:00,2001,"Quotation(units=103, nano=400000000)","Quotation(units=103, nano=600000000)"
2024-03-01 08:00:00+00:00,5093,"Quotation(units=103, nano=600000000)","Quotation(units=102, nano=600000000)"
2024-03-01 12:00:00+00:00,2606,"Quotation(units=102, nano=600000000)","Quotation(units=103, nano=600000000)"
2024-03-04 04:00:00+00:00,1354,"Quotation(units=103, nano=400000000)","Quotation(units=103, nano=400000000)"
2024-03-04 08:00:00+00:00,6550,"Quotation(units=103, nano=600000000)","Quotation(units=104, nano=400000000)"
2024-03-04 12:00:00+00:00,2704,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=400000000)"
2024-03-05 04:00:00+00:00,1662,"Quotation(units=104, nano=200000000)","Quotation(units=104, nano=200000000)"
2024-03-05 08:00:00+00:00,2829,"Quotation(units=104, nano=200000000)","Quotation(units=104, nano=600000000)"
2024-03-05 12:00:00+00:00,7354,"Quotation(units=104, nano=600000000)","Quotation(units=105, nano=0)"
2024-03-06 04:00:00+00:00,1049,"Quotation(units=105, nano=0)","Quotation(units=104, nano=400000000)"
2024-03-06 08:00:00+00:00,1116,"Quotation(units=104, nano=600000000)","Quotation(units=105, nano=0)"
2024-03-06 12:00:00+00:00,2872,"Quotation(units=105, nano=0)","Quotation(units=105, nano=0)"
2024-03-07 04:00:00+00:00,476,"Quotation(units=104, nano=800000000)","Quotation(units=105, nano=0)"
2024-03-07 08:00:00+00:00,3751,"Quotation(units=105, nano=200000000)","Quotation(units=104, nano=400000000)"
2024-03-07 12:00:00+00:00,2262,"Quotation(units=104, nano=400000000)","Quotation(units=104, nano=400000000)"
2024-03-11 04:00:00+00:00,2473,"Quotation(units=104, nano=200000000)","Quotation(units=105, nano=200000000)"
2024-03-11 08:00:00+00:00,1058,"Quotation(units=105, nano=0)","Quotation(units=104, nano=800000000)"
2024-03-11 12:00:00+00:00,4126,"Quotation(units=104, nano=800000000)","Quotation(units=104, nano=200000000)"
2024-03-12 04:00:00+00:00,3586,"Quotation(units=104, nano=400000000)","Quotation(units=105, nano=600000000)"
2024-03-12 08:00:00+00:00,9176,"Quotation(units=105, nano=800000000)","Quotation(units=105, nano=600000000)"
2024-03-12 12:00:00+00:00,2434,"Quotation(units=105, nano=800000000)","Quotation(units=106, nano=600000000)"
2024-03-13 04:00:00+00:00,1020,"Quotation(units=107, nano=400000000)","Quotation(units=106, nano=400000000)"
2024-03-13 08:00:00+00:00,4303,"Quotation(units=106, nano=600000000)","Quotation(units=107, nano=600000000)"
2024-03-13 12:00:00+00:00,5291,"Quotation(units=107, nano=600000000)","Quotation(units=106, nano=0)"
2024-03-14 04:00:00+00:00,2368,"Quotation(units=106, nano=600000000)","Quotation(units=105, nano=400000000)"
2024-03-14 08:00:00+00:00,74627,"Quotation(units=105, nano=200000000)","Quotation(units=113, nano=800000000)"
2024-03-14 12:00:00+00:00,142429,"Quotation(units=113, nano=200000000)","Quotation(units=129, nano=400000000)"
2024-03-15 04:00:00+00:00,85325,"Quotation(units=142, nano=0)","Quotation(units=142, nano=0)"
2024-03-15 08:00:00+00:00,306853,"Quotation(units=142, nano=0)","Quotation(units=129, nano=200000000)"
2024-03-15 12:00:00+00:00,98470,"Quotation(units=129, nano=600000000)","Quotation(units=126, nano=0)"
2024-03-18 04:00:00+00:00,142917,"Quotation(units=128, nano=400000000)","Quotation(units=136, nano=400000000)"
2024-03-18 08:00:00+00:00,226233,"Quotation(units=136, nano=400000000)","Quotation(units=138, nano=400000000)"
2024-03-18 12:00:00+00:00,91553,"Quotation(units=138, nano=200000000)","Quotation(units=138, nano=400000000)"
2024-03-19 04:00:00+00:00,162630,"Quotation(units=142, nano=0)","Quotation(units=142, nano=600000000)"
2024-03-19 08:00:00+00:00,127845,"Quotation(units=142, nano=600000000)","Quotation(units=146, nano=200000000)"
2024-03-19 12:00:00+00:00,120743,"Quotation(units=146, nano=0)","Quotation(units=141, nano=0)"
2024-03-20 04:00:00+00:00,38950,"Quotation(units=141, nano=400000000)","Quotation(units=139, nano=600000000)"
2024-03-20 08:00:00+00:00,548743,"Quotation(units=139, nano=800000000)","Quotation(units=142, nano=800000000)"
2024-03-20 12:00:00+00:00,392275,"Quotation(units=142, nano=800000000)","Quotation(units=135, nano=200000000)"
2024-03-21 04:00:00+00:00,61622,"Quotation(units=135, nano=800000000)","Quotation(units=131, nano=400000000)"
2024-03-21 08:00:00+00:00,70075,"Quotation(units=131, nano=200000000)","Quotation(units=129, nano=0)"
2024-03-21 12:00:00+00:00,79585,"Quotation(units=128, nano=400000000)","Quotation(units=127, nano=0)"
2024-03-22 04:00:00+00:00,45165,"Quotation(units=125, nano=800000000)","Quotation(units=123, nano=400000000)"
2024-03-22 08:00:00+00:00,90910,"Quotation(units=123, nano=600000000)","Quotation(units=120, nano=200000000)"
2024-03-22 12:00:00+00:00,74961,"Quotation(units=120, nano=800000000)","Quotation(units=118, nano=600000000)"
2024-03-25 04:00:00+00:00,25433,"Quotation(units=118, nano=0)","Quotation(units=118, nano=800000000)"
2024-03-25 08:00:00+00:00,25226,"Quotation(units=118, nano=800000000)","Quotation(units=118, nano=600000000)"
