name	figi	ticker	class_code	country_of_risk
Красный Октябрь	TCS008913850	KROT	SMAL	RU
Красный Октябрь	TCS108913850	RU0008913850	TILA21	RU
Норильский никель	TCS107288411	RU0007288411	TILA21	RU
Интер РАО ЕЭС	TCS10A0JPNM1	IRAO	SPEQ	RU
Аэрофлот	TCS209062285	RU0009062285	TILA21	RU
ДЭК	BBG000V07CB8	DVEC	TQBR	RU
Роснефть	TCS10A0J2Q06	RU000A0J2Q06	TILA21	RU
Ковровский механический завод	BBG000Q136G4	KMEZ	TQBR	RU
Etalon Group PLC ГДР	TCS0760G1031	ETLN@GS	SPBEQRU	RU
ЗИЛ	BBG000NN26P0	ZILL	TQBR	RU
Якутскэнерго - привилегированные акции	BBG000PQYM17	YKENP	TQBR	RU
Ростелеком	BBG004S682Z6	RTKM	TQBR	RU
КАМАЗ	TCS108959580	KMAZ	SPEQ	RU
РКК Энергия	RU000A107MH9	RU000A107MH9	RU000A107MH9	RU
Софтлайн	TCS30A0ZZBC2	SOFL	SPBRU	RU
Саратовэнерго - привилегированные акции	BBG000CV8026	SAREP	TQBR	RU
Саратовский НПЗ - акции привилегированные	TCS339300416	RU0009100416	A36	RU
Магнитогорский металлургический комбинат	TCS406684396	RU0009084396	A37	RU
НЛМК	TCS556746452	RU0009046452	A37	RU
Ozon Holdings PLC	US69269L1044	US69269L1044	SPBXM_OTC	RU
Промомед	TCS30A108JF7	PRMD	TQBR	RU
МКБ	TCS10A0JUG31	CBOM	SPEQ	RU
АЛРОСА	TCS218352813	RU0007252813	A36	RU
Совкомбанк	TCS20A0ZZAC4	SVCB	PTEQ	RU
Славнефть-Мегионнефтегаз	RU0009011126	MGFS	SMAL	RU
Красноярскэнергосбыт	TCS00A0HMLY1	KRSB	SMAL	RU
TCS Group	TCSS238U2033	US87238U2033	US87238U2033_RZK	RU
МФК Займер	TCS00A107RM8	ZAYM	TQBR	RU
МТС	BBG004S681W1	MTSS	TQBR	RU
Globaltrans Investment PLC	TCS1949E2046	GLTR@GS	SPBEQRU	RU
TCS Group	TCS6238U2033	US87238U2033	US87238U2033_ATN	RU
Озон Фармацевтика	TCS00A109B25	OZPH	TQBR	RU
ТГК-1	TCS00A0JNUD0	TGKA	SMAL	RU
Группа Астра	ISSUANCEASTR	ISSUANCEASTR	ISSUANCEASTR	RU
РКК Энергия им.С.П.Королева	TCS407695939	RU0009095939	A36	RU
IPO Ренессанс Страхование	FAKEFAKEREN1	FAKEFAKEREN1	FAKEFAKEREN1	RU
Диасофт	TCS10A107ER5	DIAS	PSSU	RU
ТГК-14	BBG000RG4ZQ4	TGKN	TQBR	RU
Транснефть - привилегированные акции	BBG00475KHX6	TRNFP	TQBR	RU
Софтлайн	TCS50A0ZZBC2	SOFL	SMAL	RU
ТКС Холдинг	TCS531107UL4	RU000A107UL4	A36	RU
Ozon Holdings PLC	TCSS269L1044	US69269L1044	US69269L1044_RZK	RU
Ренессанс Страхование	TCS10A0ZZM04	RENI	SMAL	RU
Мечел	TCS00A0DKXV5	MTLR	SPEQ	RU
Центр международной торговли - привилегированные акции	TCS876837088	RU0008137088	A36	RU
Селигдар	TCS00A0JPR50	RU000A0JPR50	TILA21	RU
Эн+	TCS799000K72	RU000A100K72	A36	RU
Красноярскэнергосбыт	BBG000VPC602	KRSB	TQBR	RU
ФСК Россети	BBG00475JZZ6	FEES	TQBR	RU
ЦФА Денежные требования фактора GFN	ISSUANCEGFNR	ISSUANCEGFNR	ISSUANCEGFNR	RU
Славнефть ЯНОС - привилегированные акции	BBG000CVM887	JNOSP	TQBR	RU
TCS Group	US87238U2033	US87238U2033	SPBXM_OTC	RU
Обьнефтегазгеология - ао	TCS00A0HG6Z8	OBNE	MTQR	RU
Дагестанская энергосбытовая компания	BBG000LWVHN8	DASB	TQPI	RU
КоршГОК ао	BBG000R41LN8	KOGK	TQBR	RU
ТНС энерго	BBG009CWKVN0	TNSE	TQBR	RU
X5 RetailGroup ГДР	TCS3387E2054	US98387E2054	US98387E2054_RZB	RU
Пермэнергосбыт	BBG000MZL0Y6	PMSB	TQBR	RU
Арсагера	BBG000VBMPW5	ARSA	TQBR	RU
VEON	TCS0822M5022	US91822M5022	US91822M5022_A11	RU
Варьеганнефтегаз - привилегированные акции	BBG002B9WQ73	VJGZP	TQBR	RU
IPO АЛМАР	ISSUANCEALMR	ISSUANCEALMR	ISSUANCEALMR	RU
ТГК-14	TCS10A0H1ES3	RU000A0H1ES3	TILA21	RU
ФосАгро	TCS30A0JRKT8	RU000A0JRKT8	RU000A0JRKT8_T01	RU
Вторая генерирующая компания оптового рынка электроэнергии	TCS00A0JNG55	OGKB	SMAL	RU
ПИК	RU000A0JP7J7	PIKK	SPEQ	RU
НПО Наука	BBG002BLR408	NAUK	TQBR	RU
Магаданэнерго	BBG0018X73Z4	MAGE	TQBR	RU
Сбер Банк	TCS009029540	SBER	SMAL	RU
Гемабанк	BBG00PT8QHK7	GEMA	TQBR	RU
ДВМП	TCS008992318	FESH	SMAL	RU
ЗИЛ - акции привилегированные	BBG000QFB4J6	ZILLP	MTQR	RU
Россети Московский регион	BBG004S687G6	MSRS	TQBR	RU
Меткомбанк	TCS00A0JRAK8	MTKB	SPBRU	RU
Аэрофлот	TCS367662285	RU0009062285	A37	RU
Европлан	TCS10A0ZZFS9	LEAS	PSSU	RU
