name	figi	ticker	class_code	country_of_risk
Городские Инновационные Технологии	TCS00A0JV532	RU000A0JV532	RU000A0JV532_NDS	RU
РусГидро	TCS00A0JPKH7	HYDR	SMAL	RU
Банк ВТБ	TCS9720JP5V6	RU000A0JP5V6	A36	RU
РусАгро	TCS981052057	US7496552057	000	RU
Сегежа	BBG0100R9963	SGZH	TQBR	RU
Челябинский кузнечно-прессовый завод	BBG000VQM8Q7	CHKZ	TQBR	RU
ТГК-2 - акции привилегированные	TCS20A0JNGT5	TGKBP	A36	RU
Fix Price Group	US33835G2057	US33835G2057	SPBXM_OTC	RU
МРСК Юга	TCS00A0JPPG8	MRKY	SMAL	RU
Якутскэнерго - привилегированные акции	BBG100PQYM17	YKENP	SMAL	RU
Ренессанс Страхование	TCS8148ZZM04	RU000A0ZZM04	A36	RU
Мультисистема	TCS6829JTFH9	RU000A0JTFH9	A36	RU
Ленэнерго - акции привилегированные	BBG000NLCCM3	LSNGP	TQBR	RU
ВСМПО-АВИСМА	TCS009100291	RU0009100291	TILA21	RU
Whoosh	TCS40A105EX7	RU000A105EX7	TILA21	RU
Делимобиль	TCS50A107J11	DELI	A36	RU
Обувь России	TCS00A0JXKG3	ORUP	TQPI	RU
ВК	TCS60A106YF0	RU000A106YF0	RU000A106YF0_T01	RU
Сегежа	TCS606802XG9	RU000A102XG9	A37	RU
Норильский никель	BBG004731489	GMKN	TQBR	RU
TCS Group	TCS4238U2033	US87238U2033	US87238U2033_RZA	RU
ФСК Россети (промежуточные акции)	RU000A105MU6	RU000A105MU6	RU000A105MU6	RU
Делимобиль	TCS20A107J11	DELI	PSSU	RU
Яндекс	TCS20A107T19	YDEX	PSSPBRU	RU
НКХП	TCS5892BLWD7	RU000A0BLWD7	A36	RU
TCS Group	TCS5238U2033	US87238U2033	US87238U2033_BLABEB	RU
Хэдхантер	TCS112907662	RU000A107662	A36	RU
Озон Фармацевтика	TCS20A109B25	OZPH	PTEQ	RU
ТГК-14	TCS00A0H1ES3	TGKN	SMAL	RU
Фармсинтез	TCS00A0JR514	LIFE	TQPI	RU
Совкомбанк	TCS50A0ZZAC4	SVCB	A36	RU
Инарктика Оферта	ISSUANCEINAR	ISSUANCEINAR	ISSUANCEINAR	RU
O'Key Group SA	TCS708662019	OKEY	SMAL	RU
ВИ.РУ	TCS70A108K09	RU000A108K09	ESO	RU
Группа Черкизово	TCS5588JL4R1	RU000A0JL4R1	A36	RU
Группа Позитив	TCS50A103X66	RU000A103X66	TILA21	RU
Юнипро	BBG004S686W0	UPRO	TQBR	RU
Славнефть ЯНОС	BBG000CVM618	JNOS	TQBR	RU
МРСК Сибири	BBG000VJMH65	MRKS	TQBR	RU
Уралкалий	BBG00475JVM9	URKA	TQBR	RU
Группа Астра	TCS20A106T36	ASTR	SPEQ	RU
Сургутнефтегаз - привилегированные акции	TCS009029524	SNGSP	SMAL	RU
Мосэнерго	BBG004S687W8	MSNG	TQBR	RU
Россети Урал	TCS10A0JPPT1	MRKU	SMAL	RU
АФК Система	BBG004S68614	AFKS	TQBR	RU
Казаньоргсинтез - акции обыкновенные	TCS009089825	RU0009089825	TILA21	RU
Россети Урал	TCS1600JPPT1	RU000A0JPPT1	A36	RU
ЕвроТранс Оферта	ISSUANCEEURT	ISSUANCEEURT	ISSUANCEEURT	RU
СК ЮЖУРАЛ-АСКО	BBG00HT224Q7	ACKO	TQBR	RU
ТНС энерго Ростов-на-Дону - привилегированные акции	BBG000GVFKL9	RTSBP	TQBR	RU
FIVE_OTC	TESTEUROCLEA	TESTEUROCLEA	TESTEUROCLEA	RU
Полюс	TCS9615JNAA8	RU000A0JNAA8	A36	RU
Полюс	BBG000R607Y3	PLZL	TQBR	RU
Novabev Group	TCS7406HL5M1	RU000A0HL5M1	A36	RU
VK	US5603172082	US5603172082	SPBXM_OTC	RU
FIVE_OTC	ISSUANCEFIVE	ISSUANCEFIVE	ISSUANCEFIVE	RU
МТС	TCS107775219	MTSS	SPEQ	RU
Ростелеком	TCS208943394	RU0008943394	TILA21	RU
ЛУКОЙЛ	BBG004731032	LKOH	TQBR	RU
Северсталь	TCS009046510	CHMF	SPEQ	RU
Делимобиль	TCS00A107J11	DELI	TQBR	RU
Ozon Holdings PLC	TCS2269L1044	US69269L1044	US69269L1044_RZA	RU
ТНС энерго Ростов-на-Дону	BBG000GQSRP7	RTSB	TQBR	RU
МГКЛ	TCS00A0JVJQ8	MGKL	TQBR	RU
РН-Западная Сибирь	BBG000NLLWQ5	CHGZ	TQBR	RU
Европлан	TCS00A0ZZFS9	LEAS	TQBR	RU
Айс стим Рус	BBG009R1QJV4	SIBG	TQPI	RU
МГТС - акции привилегированные	TCS281036479	RU0009036479	A36	RU
Иркутскэнерго	BBG000NL6ZD9	IRGZ	TQBR	RU
Детский Мир	TCS00A0JSQ90	DSKY	SMAL	RU
ДИКСИ	BBG004S68D00	DIXY	TQBR	RU
Удмуртнефть	TCS009046502	UDMN	MTQR	RU
OZON_OTC	ISSUANCEOZO2	ISSUANCEOZO2	ISSUANCEOZO2	RU
Utair	BBG000BDMZ51	UTAR	TQBR	RU
Северсталь	TCS185046510	RU0009046510	A36	RU
Сургутнефтегаз	TCS101926258	RU0008926258	A36	RU
Мосэнерго	TCS008958863	MSNG	SMAL	RU
Вторая генерирующая компания оптового рынка электроэнергии	TCS5106JNG55	RU000A0JNG55	A36	RU
QIWI	TCS9735M1080	US74735M1080	BLT	RU
Диасофт	TCS20A107ER5	DIAS	PTEQ	RU
Россети Центр	TCS3390JPPL8	RU000A0JPPL8	A36	RU
Красный Октябрь	TCS144113850	RU0008913850	A36	RU
Магаданэнерго - привилегированные акции	BBG0018X75N2	MAGEP	TQBR	RU
Объединенная авиастроительная корпорация	TCS00A0JPLZ7	UNAC	SMAL	RU
Газпром нефть	TCS280962467	RU0009062467	A37	RU
Авангард Банк	BBG000BTX3H2	AVAN	TQBR	RU
ИНГРАД	TCS00A0DJ9B4	OPIN	TQBR	RU
НМТП	BBG004S68BR5	NMTP	TQBR	RU
ТГК-1	BBG000QFH687	TGKA	TQBR	RU
ИНАРКТИКА	TCS00A0JQTS3	RU000A0JQTS3	TILA21	RU
Freedom Holding Corp/NV	BBG000N625H8	FRHC	SPBXM	RU
Россети Московский регион	TCS00A0ET7Y7	MSRS	SMAL	RU
Россети Московский регион	TCS30A0ET7Y7	MSRS	A36	RU
Туймазинский завод автобетоновозов	BBG000R4K9Y2	TUZA	TQBR	RU
Норильский никель	TCS007288411	GMKN	SPEQ	RU
Славнефть	TCS940286904	RU0009086904	A36	RU
ТКС Холдинг	TCS143107UL4	RU000A107UL4	A37	RU
ПРОТЕК	BBG000TZGXK8	PRTK	TQBR	RU
IPO Softline	ISSUANCESOFL	ISSUANCESOFL	ISSUANCESOFL	RU
ВК	TCS40A106YF0	VKCO	SPEQ	RU
КуйбышевАзот	TCS5269B9BV2	RU000A0B9BV2	A36	RU
Freedom Holding Corp/NV	TCSF63901046	US3563901046	A29	RU
IPO Whoosh	ISSUANCEISSU	ISSUANCEISSU	ISSUANCEISSU	RU
Сбер Банк	TCS810029540	RU0009029540	A37	RU
ИНГРАД	BBG000RJXRQ4	INGR	TQBR	RU
Яндекс	TCS409805522	NL0009805522	NL0009805522_RZI	RU
Центральный Телеграф - акции привилегированные	BBG0027F0Y27	CNTLP	TQBR	RU
М.Видео	TCS10A0JPGA0	RU000A0JPGA0	TILA21	RU
ЧелябЭС ао	BBG000HD4S15	CLSB	TQBR	RU
QIWI	TCSF735M1080	US74735M1080	A29	RU
ГК Самолет	TCS10A0ZZG02	RU000A0ZZG02	TILA21	RU
Мечел - Привилегированные акции	BBG004S68FR6	MTLRP	TQBR	RU
ГТМ	RU000A0ZYD22	GTRK	PTEQ	RU
АЛРОСА	TCS107252813	RU0007252813	TILA21	RU
Ренессанс Страхование	TCS00A0ZZM04	RU000A0ZZM04	RENI_NDS	RU
Яндекс	TCS209805522	NL0009805522	NL0009805522_RZB	RU
ЛУКОЙЛ	TCS109024277	RU0009024277	RU0009024277_A21	RU
IPO Softline (USD)	ISSUANCESOFN	ISSUANCESOFN	ISSUANCESOFN	RU
ТНС энерго Нижний Новгород - привилегированные акции	BBG000J1Z285	NNSBP	TQBR	RU
VEON	TCSF822M5022	US91822M5022	A30	RU
Томская распределительная компания - привилегированные акции	BBG000MDCP25	TORSP	TQBR	RU
РусГидро	TCS2129JPKH7	RU000A0JPKH7	A36	RU
Группа Позитив	TCS30A103X66	POSI	SPEQ	RU
ФосАгро	TCS5285JRKT8	RU000A0JRKT8	A36	RU
Циан АДР	TCS3418T1088	CIAN@US	SPBXM	RU
HENDERSON	TCS20A106XF2	HNFG	PTEQ	RU
СОЛЛЕРС	TCS435814488	RU0006914488	A36	RU
Липецкая энергосбытовая компания	BBG000DD0BC8	LPSB	TQBR	RU
МРСК Юга	BBG000C7P5M7	MRKY	TQBR	RU
Газпром	TCS671961625	RU0007661625	A37	RU
Сбер Банк - привилегированные акции	TCS009029557	SBERP	SMAL	RU
НоваБев Групп	TCS6550095U8	RU000A1095U8	A36	RU
Селигдар	TCS1372JPR50	RU000A0JPR50	A36	RU
Селигдар - Акции привилегированные	BBG002Z693D3	SELGP	TQBR	RU
Сбер Банк	TCS201729540	RU0009029540	A38	RU
Самолет	ISSUANCESMLT	ISSUANCESMLT	PSEQ	RU
ТрансКонтейнер	BBG0018X6YV1	TRCN	TQBR	RU
КарМани	TCS80A105NV2	CARM	PSBB_EQ	RU
Магнитогорский металлургический комбинат	TCS950684396	RU0009084396	A36	RU
IPO Ozon	ISSUANCEOZO1	ISSUANCEOZO1	ISSUANCEOZO1	RU
HeadHunter Group PLC	BBG00KHGQ0H4	HHR	SPBXM	RU
Fix Price Group	TCS1835G2057	US33835G2057	US33835G2057_RZB	RU
Казаньоргсинтез - акции привилегированные	TCS006753456	RU0006753456	TILA21	RU
Нижнекамскнефтехим	TCS144600507	RU0009100507	A36	RU
