name	figi	ticker	class_code
Casey's General Stores Inc	TCSF75281036	US1475281036	A29
Красногорский завод им. С.А. Зверева - привилегированные акции	TCS007940839	KZIZP	MTQR
Nutanix Inc	TCSF059N1081	US67059N1081	A29
Morgan Stanley	US6174464486	US6174464486	SPBXM_OTC
Organon & Co.	BBG00ZQRGW24	OGN	SPBXM
Puma Biotechnology	BBG0018YXYX7	PBYI	PBYI
Bio-Techne	TCSF073M1045	US09073M1045	A29
Banco BBVA Argentina SA	BBG000BLLR07	BBAR	BBAR
Kite Realty Group REIT	TCSF803T3005	US49803T3005	A29
Pfizer	US7170811035	US7170811035	SPBXM_OTC
Bristol-Myers Squibb	BBG000DQLV23	BMY	SPBXM
Global Ports Investments PLC	US37951Q2021	US37951Q2021	SPBXM_OTC
Avantor Inc	BBG00G2HHYD7	AVTR	SPBXM
Willis Towers Watson	BBG000DB3KT1	WTW	SPBXM
Apple Hospitality REIT	BBG006473QX9	APLE	SPBXM
Ocugen, Inc.	TCSF577C1053	US67577C1053	A30
AT&T	TCS1206R1023	US00206R1023	US00206R1023_NDS
Chemed Corp	BBG000C19QW1	CHE	SPBXM
Automatic Data Processing	US0530151036	US0530151036	SPBXM_OTC
Unilever ADR	TCSF47677045	US9047677045	A30
HD Supply Holdings Inc	BBG0033377Y3	HDS	SPBXM
Chemours Company	TCSF38511089	US1638511089	A29
Birkenstock Holding	BBG01J9M42H2	BIRK	SPBXM
Latam Airlines Group S.A.	TCSF817R1068	US51817R1068	A30
Coursera, Inc.	TCSF266M1045	US22266M1045	A30
Macy's	US55616P1049	US55616P1049	SPBXM_OTC
Puma Biotechnology	TCSF587V1070	US74587V1070	A30
Air Transport Services Group, Inc.	BBG000BLW5F7	ATSG	ATSG
РуссНефть	TCS00A0JSE60	RNFT	SPEQ
JB Hunt	TCSF56581077	US4456581077	A29
Arcimoto, Inc.	TCS00HQ780X3	FUVold	FUVold
Oaktree Specialty Lending Corp	TCSF401P4054	US67401P4054	A29
Aflac Incorporated	TCSF10551028	US0010551028	A29
E.ON SE	BBG000BR75Q0	EONGY	EONGY
Rusgidro	BBG000VJ03W1	HYDR LI	HYDR LI
БМ-Банк	TCS00A1038B8	RU000A1038B8	TQBR
